idade;ano_calendario;saldo_inicial;receitas_total;despesas_essenciais;despesas_nao_essenciais;eventos_positivos;eventos_negativos;fluxo_liquido;juros_divida;retorno;saldo_final;vendas_forcadas_total;saldo_divida;ativos_estoque_atualizados;patrimonio_total
60;2025;9811800;267500;628704;246780;0;2270000;-2877984;0;0;6933816;0;0;6643760;13577576
61;2026;6933816;278200;653852.16;256651.2;0;0;-632303.36;0;535628.57;6837141.21;0;0;6643760;13480901.21
62;2027;6837141.21;289328;680006.25;266917.25;0;0;-657595.49;0;525261.39;6704807.11;0;0;6643760;13348567.11
63;2028;6704807.11;300901.12;707206.5;277593.94;0;0;-683899.31;0;511777.16;6532684.95;0;0;6643760;13176444.95
64;2029;6532684.95;312937.16;735494.76;288697.7;0;0;-711255.29;0;494821.52;6316251.19;0;0;6643760;12960011.19
65;2030;6316251.19;325454.65;764914.55;300245.6;0;153298.27;-893003.76;0;460976.03;5884223.46;0;0;6643760;12527983.46
66;2031;5884223.46;338472.84;795511.13;312255.43;0;0;-769293.72;0;434769.03;5549698.77;0;0;6643760;12193458.77
67;2032;5549698.77;352011.75;827331.57;324745.64;0;0;-800065.47;0;403718.83;5153352.13;0;0;6643760;11797112.13
68;2033;5153352.13;366092.22;860424.84;337735.47;0;0;-832068.09;0;367309.14;4688593.19;0;0;6643760;11332353.19
69;2034;4688593.19;380735.91;894841.83;351244.89;0;0;-865350.81;0;324975.6;4148217.98;0;0;6643760;10791977.98
70;2035;4148217.98;395965.35;930635.5;365294.68;0;0;-899964.84;0;276101.52;3524354.66;0;0;6643760;10168114.66
71;2036;3524354.66;411803.96;922139.14;379906.47;0;0;-890241.65;0;223899.61;2858012.61;0;0;6643760;9501772.61
72;2037;2858012.61;428276.12;959024.7;395102.73;0;0;-925851.32;0;164233.71;2096395.01;0;0;6643760;8740155.01
73;2038;2096395.01;445407.16;997385.69;410906.84;0;0;-962885.37;0;96348.32;1229857.96;0;0;6643760;7873617.96
74;2039;1229857.96;463223.45;1037281.12;427343.11;0;0;-1001400.78;0;19418.86;247876.04;0;0;6643760;6891636.04
75;2040;247876.04;481752.39;1078772.36;444436.84;0;0;-1041456.81;0;0;0;793580.78;0;5850179.22;5850179.22
76;2041;0;501022.48;314098.95;462214.31;0;0;-275290.78;0;0;0;275290.78;0;5574888.44;5574888.44
77;2042;0;521063.38;326662.91;480702.88;0;0;-286302.41;0;0;0;286302.41;0;5288586.02;5288586.02
78;2043;0;541905.92;339729.43;499931;0;0;-297754.51;0;0;0;297754.51;0;4990831.51;4990831.51
79;2044;0;563582.15;353318.61;519928.24;0;0;-309664.69;0;0;0;309664.69;0;4681166.82;4681166.82
80;2045;0;586125.44;367451.35;540725.37;0;0;-322051.28;0;0;0;322051.28;0;4359115.54;4359115.54
81;2046;0;307633.69;382149.41;562354.38;0;0;-636870.1;0;0;0;636870.1;0;3722245.44;3722245.44
82;2047;0;319939.04;397435.38;584848.56;0;0;-662344.9;0;0;0;662344.9;0;3059900.54;3059900.54
83;2048;0;332736.6;413332.8;608242.5;0;0;-688838.7;0;0;0;688838.7;0;2371061.84;2371061.84
84;2049;0;346046.06;429866.11;632572.2;0;0;-716392.25;0;0;0;716392.25;0;1654669.59;1654669.59
85;2050;0;359887.9;447060.75;657875.09;0;0;-745047.94;0;0;0;745047.94;0;909621.65;909621.65
86;2051;0;374283.42;464943.18;684190.09;0;0;-774849.86;0;0;0;774849.86;0;134771.8;134771.8
87;2052;0;389254.76;483540.91;711557.7;0;0;-805843.85;0;0;0;134771.8;671072.05;0;-671072.05
88;2053;0;404824.95;502882.55;740020.01;0;0;-838077.6;100660.81;0;0;0;1609810.47;0;-1609810.47
89;2054;0;421017.95;522997.85;769620.81;0;0;-871600.71;241471.57;0;0;0;2722882.74;0;-2722882.74
90;2055;0;437858.66;543917.76;800405.64;0;0;-906464.74;408432.41;0;0;0;4037779.89;0;-4037779.89
91;2056;0;455373.01;565674.47;832421.86;0;0;-942723.33;605666.98;0;0;0;5586170.2;0;-5586170.2
